Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.6166419019316494,0.6266654768038824,0.6166419019316494,0.5930772721018397
Random Forest,0.5928677563150074,0.5918516778088159,0.5928677563150074,0.5790125505896397
XGBoost,0.6129271916790491,0.6105024038450072,0.6129271916790491,0.5984122769146003
